senator_id,first_name,middle_name,last_name,TotalVotes,TotalCongresses,TotalCommittees,MaxVotes,VotesPerCmte,VotesPerCongress
T000348,Uriah,,tracy,4283,6,765,22,5.6,713.83
B000745,Stephen,Row,bradley,3688,7,740,24,4.98,526.86
A000197,Joseph,Inslee,anderson,3661,8,788,25,4.65,457.62
R000448,James,,ross,2532,5,478,24,5.3,506.4
S000609,Samuel,,smith,2403,5,407,25,5.9,480.6
K000212,Rufus,,king,2290,7,401,30,5.71,327.14
H000618,James,,hillhouse,2155,8,755,23,2.85,269.38
L000364,Samuel,,livermore,2136,4,580,19,3.68,534.0
G000183,William,Branch,giles,2081,5,361,31,5.76,416.2
B000084,Abraham,,baldwin,2072,5,493,20,4.2,414.4
B000929,John,,brown,1796,7,568,18,3.16,256.57
L000067,John,,langdon,1775,6,585,15,3.03,295.83
R000092,Jacob,,read,1740,3,414,21,4.2,580.0
A000041,John,Quincy,adams,1740,3,364,24,4.78,580.0
E000147,Oliver,,ellsworth,1617,4,272,19,5.94,404.25
S001009,Caleb,,strong,1510,4,284,19,5.32,377.5
M000831,Samuel,Latham,mitchill,1510,3,309,24,4.89,503.33
F000344,Jesse,,franklin,1457,5,464,23,3.14,291.4
G000442,Andrew,,gregg,1285,2,309,20,4.16,642.5
B000474,William,,bingham,1254,3,293,21,4.28,418.0
G000526,James,,gunn,1243,6,341,21,3.65,207.17
L000120,John,,laurance,1212,3,263,19,4.61,404.0
W000392,Samuel,,white,1209,5,420,19,2.88,241.8
S001073,Thomas,,sumter,1172,5,391,23,3.0,234.4
C000895,William,Harris,crawford,1167,2,259,27,4.51,583.5
P000026,Elijah,,paine,1159,3,354,23,3.27,386.33
G000286,Benjamin,,goodhue,1125,3,254,24,4.43,375.0
S000566,John,,smith,1057,4,346,26,3.05,264.25
J000017,James,,jackson,1035,4,261,22,3.97,258.75
T000107,Henry,,tazewell,1000,3,257,17,3.89,333.33
P000431,John,,pope,963,2,237,24,4.06,481.5
D000165,Jonathan,,dayton,955,3,249,23,3.84,318.33
